word_id,example_id,order_index,sentence,translation,matched_surface,context_explanation,difficulty_rationale
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,e9c3df81-3f49-4664-bc15-6af2329a9da9,1,"When students enter the realm of academic writing, they must learn to structure coherent arguments.",当学生进入学术写作的领域时，他们必须学会构建连贯的论点。,enter,enter 在这里表示“进入”，说明进入学术写作这一抽象领域。,表达较书面，带轻度抽象关系，贴近CET-6阅读材料。
dad251fe-fa3a-420a-9a47-02bb73c9083d,03260621-b1aa-4c17-807b-919f804eb7be,1,Many students eat lunch quickly in the campus cafeteria before afternoon seminars begin.,许多学生在下午研讨课开始前，会在校园食堂快速吃午饭。,eat,eat 在这里指吃午饭，描述学生在食堂快速用餐的动作。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
bb579196-8b02-4b50-b1bb-e12b8dd632cc,15d87f5f-99ef-4d86-85c1-788df92068d9,1,The study revealed that people who eat slowly during a meal tend to consume fewer calories.,研究发现，一顿饭中细嚼慢咽的人倾向于摄入更少的卡路里。,meal,meal 在这里指一餐饭，即进食的过程，说明在用餐时慢慢吃有助于控制热量摄入。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,b28ded67-c7f0-4650-b8c5-5b7ed6045052,1,The court hearing was postponed because a key witness failed to appear.,法庭听证会因关键证人未出庭而延期。,court,court 在这里指进行审判或听证的场所，即法院或法庭。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
23228a76-0482-4b5a-a9c0-4084908853cd,b9f27876-2305-49fb-a63e-74290f81db74,1,"The old yard, surrounded by stone walls, became a gathering place for neighbors on quiet evenings.",那个被石墙环绕的老院子，在宁静的夜晚成了邻居们聚会的地点。,yard,yard 在这里指院子，说明这是一个户外空间。,表达较书面，带轻度抽象关系，贴近CET-6阅读材料。
818f57a1-405d-4a86-82d2-b4f8fe024843,8714ce22-910f-49bf-b45e-0b356cdbaffb,1,"The old library is centered around a quiet courtyard, where students often gather to read or study.",旧图书馆的中心是一个安静的庭院，学生们经常聚在那里阅读或学习。,courtyard,courtyard 在这里指图书馆中间的露天院子，供学生聚集、阅读或学习。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
d669f094-000d-4b69-b62c-882b59b154e4,37131b68-08fe-42e1-916f-002d992bbebc,1,The author explained how she develops characters while walking through the park near her home.,作者解释了她如何在附近公园散步时构思人物。,author,author 在这里指创作书籍或文章的作家。,保留六级阅读目标词义，语境具体低风险，句长符合本层级边界。
91419fea-861e-4ab8-aae0-19725782dfe8,0f92f16d-eb92-4079-a0ba-907184dba2ea,1,"The findings of the two studies are in perfect accord, confirming the link between exercise and well-being.",两项研究的发现完全一致，证实了锻炼与幸福感之间的联系。,accord,accord 在这里表示“一致，符合”，强调两项研究的结果完全吻合，没有冲突。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
7b8133a8-6649-427c-a979-34b206ddc2c9,f44a1949-57f3-470c-ade9-e764dbd3d60b,1,"In many societies, people refrain from consuming specific types of meat due to longstanding cultural traditions.",在许多社会中，人们由于长期的文化传统而避免食用特定种类的肉。,meat,meat 在这里指供食用的动物肉，句中指某些文化传统中明确回避的特定肉食。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
a9061134-fa96-4701-83b2-a2b40e1fa455,2f1f34ca-3779-47c2-8032-fbce67017af0,1,"After class, the student decided to question the teacher about the confusing homework instructions.",课后，那名学生决定向老师询问关于令人困惑的作业要求。,question,question 在这里指学生向老师提出疑问，意为“询问”。,保留六级阅读目标词义，语境具体低风险，句长符合本层级边界。
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,91564984-1f2a-4721-a38e-eaed9d7fb67a,1,"Last week, the student union handed out a short questionnaire about preferred cafeteria dishes and snack choices.",上周，学生会发放了一份简短的问卷，调查大家喜欢的食堂菜品和小吃选择。,questionnaire,questionnaire 在这里指用于收集同学们对食堂菜品偏好的意见表。,保留六级阅读目标词义，语境具体低风险，句长符合本层级边界。
ed0aa2a8-4071-4e21-9031-170784ca82ba,41af00cc-18f7-45c2-883b-e3ae345fc6b7,1,The intense pain of losing her dearest friend persisted through months of quiet grief.,失去最亲密朋友的强烈痛苦在数月的静默悲伤中持续着。,pain,pain 在这里指精神上的痛苦，而非身体疼痛。,表达较书面，带轻度抽象关系，贴近CET-6阅读材料。
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,a410f4e0-b409-4f55-b1a1-61d768b043ac,1,"By supporting local farmers, the city not only boosts its economy but also reduces food miles.",通过支持当地农民，城市不仅促进了自身经济，也减少了食物运输里程。,local,local 在这里指当地的，修饰 farmers，表示这些农民来自本地区，与城市的地域联系紧密。,句子长度适中，场景具体，词汇基础，话题贴近目标词库常见阅读材料，难度匹配当前层级。
01678d1e-cad6-4f77-8d51-3555e693184a,6d463c0a-fb7d-43e4-b4df-468742adde00,1,The university decided to locate the new cafeteria near the sports field.,大学决定把新食堂设在运动场附近。,locate,locate 在这里指将食堂的位置定在运动场附近。,保留六级阅读目标词义，语境具体低风险，句长符合本层级边界。
