word_id,collocation_id,order_index,phrase,meaning,example
91419fea-861e-4ab8-aae0-19725782dfe8,b21fc1c4-1fde-4736-8cb4-9df725cf9563,1,accord with desire,与愿望一致,
91419fea-861e-4ab8-aae0-19725782dfe8,9a9b8f46-bdb8-406e-9b17-8e9831d4db4d,2,be in accord with sth.,与某物一致,
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,bd354817-9bc8-4e5c-a6be-4193ee27d110,1,a lengthy questionnaire,冗长的调查问卷,
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,26d70099-5051-49f8-9a5f-02805cd0b79d,2,a questionnaire about...,关于……的问卷,
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,5a9cab88-a21f-4a60-a738-2a79a16ebfe2,3,a questionnaire survey,问卷调查,
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,7ba2e9d6-28a8-4673-8970-2108132071d1,4,fill in a questionnaire,填写调查表,
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,fc402e3a-7b75-4e23-bde2-a4a79367f2ad,1,a local business,本地企业,
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,b9b97348-2136-491a-9677-56ac722c416a,2,a local government,地方政府,
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,98b98c69-dd55-4609-bd6e-0a22d31c8a79,3,friendly locals,友好的本地人,
01678d1e-cad6-4f77-8d51-3555e693184a,a38473f4-e0ff-426e-b3aa-d5d4845d7e0f,1,locate a spy,找到间谍的位置,
01678d1e-cad6-4f77-8d51-3555e693184a,8c061474-6923-4818-88ef-310f453940da,2,locate the source of sth.,找到某物的来源,
01678d1e-cad6-4f77-8d51-3555e693184a,444a74da-0ceb-4899-b1d3-ad39a013f4fb,3,locate the tomb,安置陵墓,
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,3a3a6f29-c675-4296-92fe-b7712fdd3d24,1,a beneficial effect,有利的影响,
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,1070d2ca-752f-4a5b-b6c0-3fac226dba26,2,a beneficial result,有益的成果,
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,bdbb5097-e1cb-4fbb-aa7b-333a6a02b985,3,be beneficial to...,对……有益,
149a3e48-c4aa-4e05-8b47-4a0c107b4888,74305f7b-823e-450a-8445-9d7963e4ac8c,1,economic development,经济发展,
149a3e48-c4aa-4e05-8b47-4a0c107b4888,f96aef10-6fe4-4fc3-a4e4-bf3892febff8,2,economic growth,经济增长,
149a3e48-c4aa-4e05-8b47-4a0c107b4888,cbc0f8d4-b4ec-4e2c-9c64-1f8705bea35e,3,economic history,经济史,
