word_id,relation_index,relation_type,related_word_count
91419fea-861e-4ab8-aae0-19725782dfe8,1,derivative,1
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,1,near_synonym,1
01678d1e-cad6-4f77-8d51-3555e693184a,1,near_synonym,1
01678d1e-cad6-4f77-8d51-3555e693184a,2,derivative,1
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,1,antonym,1
149a3e48-c4aa-4e05-8b47-4a0c107b4888,1,derivative,2
6ccd24f7-ab9a-4722-911f-583315e1071a,1,near_synonym,1
6ccd24f7-ab9a-4722-911f-583315e1071a,2,derivative,1
b04b2bfd-c811-4daf-975f-2558361f4aac,1,antonym,1
b04b2bfd-c811-4daf-975f-2558361f4aac,2,derivative,1
ee509035-52e2-42d5-af8e-44cab931c3df,1,near_synonym,1
ee509035-52e2-42d5-af8e-44cab931c3df,2,derivative,1
1b28da07-c470-4d29-8814-43f2774a878a,1,near_synonym,1
226e03a3-dcd5-4f9d-ae27-b04fc5517ab2,1,near_synonym,2
f992f7ec-dad8-4ef6-9310-fb48bf3c3735,1,near_synonym,1
f992f7ec-dad8-4ef6-9310-fb48bf3c3735,2,antonym,1
e6ada86c-cdcf-4b63-bbeb-093b0ca9f2ce,1,near_synonym,1
e6ada86c-cdcf-4b63-bbeb-093b0ca9f2ce,2,derivative,1
8ab9c302-698f-4983-982b-9cba3b580e39,1,near_synonym,1
dd63b5fb-0630-4771-b9c8-61a65da20bde,1,near_synonym,2
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,1,antonym,1
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,2,derivative,1
4a3458b5-0cb6-41ac-99d8-6254eacb5376,1,near_synonym,1
4a3458b5-0cb6-41ac-99d8-6254eacb5376,2,derivative,1
dfc0fc95-d463-4a0e-b57f-97240bb3ee99,1,near_synonym,1
dfc0fc95-d463-4a0e-b57f-97240bb3ee99,2,antonym,1
57a78b1c-e985-4e8f-8fbc-486776feaf6c,1,near_synonym,1
57a78b1c-e985-4e8f-8fbc-486776feaf6c,2,derivative,1
09de9eb6-5bde-44b4-81c1-5145759489af,1,near_synonym,1
09de9eb6-5bde-44b4-81c1-5145759489af,2,derivative,1
8f4dafed-ccc8-417e-adec-bc10c39d86ec,1,near_synonym,2
49712486-7250-4285-8335-3214c46da5d8,1,antonym,1
49712486-7250-4285-8335-3214c46da5d8,2,derivative,1
4dab4c11-8ee4-443a-b76f-b51e0635e3ea,1,near_synonym,2
b43a9f9d-b11f-485f-8f57-e26adfe58791,1,near_synonym,1
b43a9f9d-b11f-485f-8f57-e26adfe58791,2,antonym,1
36911b43-31e2-4d1d-8fcd-8d26a12012d6,1,near_synonym,1
36911b43-31e2-4d1d-8fcd-8d26a12012d6,2,derivative,1
b0805971-d99c-41de-bb21-9d9ff49693a4,1,near_synonym,1
b0805971-d99c-41de-bb21-9d9ff49693a4,2,derivative,1
443c4f81-060e-4551-aaac-16368efcbc88,1,near_synonym,1
443c4f81-060e-4551-aaac-16368efcbc88,2,derivative,1
f511b2e0-e72d-4b5e-b9e3-202ed9d46351,1,near_synonym,1
